date,day_of_week,meal_type,is_exam_period,active_leaves,current_occupancy,actual_count,prep_count,waste_kg
2026-06-12,Friday,Dinner,1,11,489,470,510,14.0
2026-06-13,Saturday,Breakfast,1,54,446,277,301,8.4
2026-06-13,Saturday,Lunch,1,54,446,359,378,6.6
2026-06-13,Saturday,Dinner,1,54,446,309,332,8.0
2026-06-14,Sunday,Breakfast,1,43,457,291,320,10.1
2026-06-14,Sunday,Lunch,1,43,457,342,374,11.2
2026-06-14,Sunday,Dinner,1,43,457,320,353,11.5
2026-06-15,Monday,Breakfast,1,7,493,419,455,12.6
2026-06-15,Monday,Lunch,1,7,493,452,480,9.8
2026-06-15,Monday,Dinner,1,7,493,457,520,22.0
2026-06-16,Tuesday,Breakfast,1,22,478,424,478,18.9
2026-06-16,Tuesday,Lunch,1,22,478,435,480,15.7
2026-06-16,Tuesday,Dinner,1,22,478,454,503,17.1
2026-06-17,Wednesday,Breakfast,1,9,491,442,469,9.4
2026-06-17,Wednesday,Lunch,1,9,491,447,498,17.8
2026-06-17,Wednesday,Dinner,1,9,491,452,500,16.8
2026-06-18,Thursday,Breakfast,1,3,497,438,464,9.1
2026-06-18,Thursday,Lunch,1,3,497,457,487,10.5
2026-06-18,Thursday,Dinner,1,3,497,465,496,10.8
2026-06-19,Friday,Breakfast,1,7,493,423,482,20.6
2026-06-19,Friday,Lunch,1,7,493,458,499,14.3
2026-06-19,Friday,Dinner,1,7,493,460,528,23.8
2026-06-20,Saturday,Breakfast,1,38,462,281,322,14.3
2026-06-20,Saturday,Lunch,1,38,462,358,385,9.4
2026-06-20,Saturday,Dinner,1,38,462,326,347,7.3
2026-06-21,Sunday,Breakfast,1,43,457,289,319,10.5
2026-06-21,Sunday,Lunch,1,43,457,335,377,14.7
2026-06-21,Sunday,Dinner,1,43,457,325,347,7.7
2026-06-22,Monday,Breakfast,0,7,493,386,424,13.3
2026-06-22,Monday,Lunch,0,7,493,429,476,16.4
2026-06-22,Monday,Dinner,0,7,493,440,474,11.9
2026-06-23,Tuesday,Breakfast,0,5,495,408,448,14.0
2026-06-23,Tuesday,Lunch,0,5,495,429,464,12.2
2026-06-23,Tuesday,Dinner,0,5,495,445,473,9.8
2026-06-24,Wednesday,Breakfast,0,18,482,389,418,10.1
2026-06-24,Wednesday,Lunch,0,18,482,435,482,16.4
2026-06-24,Wednesday,Dinner,0,18,482,441,483,14.7
2026-06-25,Thursday,Breakfast,0,2,498,398,454,19.6
2026-06-25,Thursday,Lunch,0,2,498,441,504,22.0
2026-06-25,Thursday,Dinner,0,2,498,442,472,10.5
2026-06-26,Friday,Breakfast,0,12,488,398,440,14.7
2026-06-26,Friday,Lunch,0,12,488,428,483,19.2
2026-06-26,Friday,Dinner,0,12,488,440,470,10.5
2026-06-27,Saturday,Breakfast,0,38,462,264,298,11.9
2026-06-27,Saturday,Lunch,0,38,462,335,363,9.8
2026-06-27,Saturday,Dinner,0,38,462,321,365,15.4
2026-06-28,Sunday,Breakfast,0,47,453,258,282,8.4
2026-06-28,Sunday,Lunch,0,47,453,319,344,8.8
2026-06-28,Sunday,Dinner,0,47,453,272,305,11.5
2026-06-29,Monday,Breakfast,0,2,498,408,465,19.9
2026-06-29,Monday,Lunch,0,2,498,446,508,21.7
2026-06-29,Monday,Dinner,0,2,498,426,473,16.4
2026-06-30,Tuesday,Breakfast,0,3,497,418,444,9.1
2026-06-30,Tuesday,Lunch,0,3,497,442,487,15.7
2026-06-30,Tuesday,Dinner,0,3,497,459,522,22.0
2026-07-01,Wednesday,Breakfast,0,9,491,406,438,11.2
2026-07-01,Wednesday,Lunch,0,9,491,440,463,8.0
2026-07-01,Wednesday,Dinner,0,9,491,433,479,16.1
2026-07-02,Thursday,Breakfast,0,14,486,401,434,11.5
2026-07-02,Thursday,Lunch,0,14,486,440,468,9.8
2026-07-02,Thursday,Dinner,0,14,486,432,463,10.8
2026-07-03,Friday,Breakfast,0,17,483,405,451,16.1
2026-07-03,Friday,Lunch,0,17,483,429,461,11.2
2026-07-03,Friday,Dinner,0,17,483,453,491,13.3
2026-07-04,Saturday,Breakfast,0,29,471,288,315,9.4
2026-07-04,Saturday,Lunch,0,29,471,340,377,12.9
2026-07-04,Saturday,Dinner,0,29,471,332,349,5.9
2026-07-05,Sunday,Breakfast,0,50,450,266,303,12.9
2026-07-05,Sunday,Lunch,0,50,450,316,350,11.9
2026-07-05,Sunday,Dinner,0,50,450,297,329,11.2
2026-07-06,Monday,Breakfast,0,21,479,387,442,19.2
2026-07-06,Monday,Lunch,0,21,479,420,445,8.8
2026-07-06,Monday,Dinner,0,21,479,438,503,22.8
2026-07-07,Tuesday,Breakfast,0,27,473,393,428,12.2
2026-07-07,Tuesday,Lunch,0,27,473,414,467,18.5
2026-07-07,Tuesday,Dinner,0,27,473,421,442,7.3
2026-07-08,Wednesday,Breakfast,0,5,495,389,429,14.0
2026-07-08,Wednesday,Lunch,0,5,495,433,469,12.6
2026-07-08,Wednesday,Dinner,0,5,495,451,506,19.2
2026-07-09,Thursday,Breakfast,0,2,498,405,443,13.3
2026-07-09,Thursday,Lunch,0,2,498,435,478,15.0
2026-07-09,Thursday,Dinner,0,2,498,445,485,14.0
2026-07-10,Friday,Breakfast,1,10,490,433,479,16.1
2026-07-10,Friday,Lunch,1,10,490,445,510,22.8
2026-07-10,Friday,Dinner,1,10,490,470,500,10.5
2026-07-11,Saturday,Breakfast,1,35,465,291,334,15.0
2026-07-11,Saturday,Lunch,1,35,465,383,404,7.3
2026-07-11,Saturday,Dinner,1,35,465,326,366,14.0
2026-07-12,Sunday,Breakfast,1,41,459,287,307,7.0
2026-07-12,Sunday,Lunch,1,41,459,379,400,7.3
2026-07-12,Sunday,Dinner,1,41,459,310,349,13.6
2026-07-13,Monday,Breakfast,1,20,480,391,427,12.6
2026-07-13,Monday,Lunch,1,20,480,458,488,10.5
2026-07-13,Monday,Dinner,1,20,480,435,464,10.1
2026-07-14,Tuesday,Breakfast,1,3,497,424,472,16.8
2026-07-14,Tuesday,Lunch,1,3,497,458,488,10.5
2026-07-14,Tuesday,Dinner,1,3,497,471,528,19.9
2026-07-15,Wednesday,Breakfast,1,11,489,425,455,10.5
2026-07-15,Wednesday,Lunch,1,11,489,461,484,8.0
2026-07-15,Wednesday,Dinner,1,11,489,453,480,9.4
2026-07-16,Thursday,Breakfast,1,8,492,432,481,17.1
2026-07-16,Thursday,Lunch,1,8,492,454,487,11.5
2026-07-16,Thursday,Dinner,1,8,492,465,521,19.6
2026-07-17,Friday,Breakfast,1,13,487,426,464,13.3
2026-07-17,Friday,Lunch,1,13,487,442,477,12.2
2026-07-17,Friday,Dinner,1,13,487,468,533,22.8
2026-07-18,Saturday,Breakfast,1,41,459,276,301,8.8
2026-07-18,Saturday,Lunch,1,41,459,341,370,10.1
2026-07-18,Saturday,Dinner,1,41,459,313,347,11.9
2026-07-19,Sunday,Breakfast,1,44,456,273,297,8.4
2026-07-19,Sunday,Lunch,1,44,456,330,356,9.1
2026-07-19,Sunday,Dinner,1,44,456,336,384,16.8
2026-07-20,Monday,Breakfast,1,8,492,432,491,20.6
2026-07-20,Monday,Lunch,1,8,492,467,527,21.0
2026-07-20,Monday,Dinner,1,8,492,467,510,15.0
2026-07-21,Tuesday,Breakfast,1,24,476,420,451,10.8
2026-07-21,Tuesday,Lunch,1,24,476,444,509,22.8
2026-07-21,Tuesday,Dinner,1,24,476,450,496,16.1
2026-07-22,Wednesday,Breakfast,0,8,492,395,415,7.0
2026-07-22,Wednesday,Lunch,0,8,492,416,459,15.0
2026-07-22,Wednesday,Dinner,0,8,492,448,499,17.8
2026-07-23,Thursday,Breakfast,0,9,491,407,427,7.0
2026-07-23,Thursday,Lunch,0,9,491,434,481,16.4
2026-07-23,Thursday,Dinner,0,9,491,451,503,18.2
2026-07-24,Friday,Breakfast,0,2,498,395,435,14.0
2026-07-24,Friday,Lunch,0,2,498,434,481,16.4
2026-07-24,Friday,Dinner,0,2,498,450,483,11.5
2026-07-25,Saturday,Breakfast,0,30,470,264,286,7.7
2026-07-25,Saturday,Lunch,0,30,470,328,362,11.9
2026-07-25,Saturday,Dinner,0,30,470,316,346,10.5
2026-07-26,Sunday,Breakfast,0,42,458,267,299,11.2
2026-07-26,Sunday,Lunch,0,42,458,335,353,6.3
2026-07-26,Sunday,Dinner,0,42,458,282,310,9.8
2026-07-27,Monday,Breakfast,0,2,498,418,471,18.5
2026-07-27,Monday,Lunch,0,2,498,437,488,17.8
2026-07-27,Monday,Dinner,0,2,498,465,508,15.0
2026-07-28,Tuesday,Breakfast,0,16,484,391,441,17.5
2026-07-28,Tuesday,Lunch,0,16,484,415,460,15.7
2026-07-28,Tuesday,Dinner,0,16,484,444,482,13.3
2026-07-29,Wednesday,Breakfast,0,4,496,404,446,14.7
2026-07-29,Wednesday,Lunch,0,4,496,440,497,19.9
2026-07-29,Wednesday,Dinner,0,4,496,452,504,18.2
2026-07-30,Thursday,Breakfast,0,17,483,400,429,10.1
2026-07-30,Thursday,Lunch,0,17,483,409,469,21.0
2026-07-30,Thursday,Dinner,0,17,483,434,496,21.7
2026-07-31,Friday,Breakfast,0,16,484,398,419,7.3
2026-07-31,Friday,Lunch,0,16,484,415,474,20.6
2026-07-31,Friday,Dinner,0,16,484,446,511,22.8
2026-08-01,Saturday,Breakfast,0,39,461,274,311,12.9
2026-08-01,Saturday,Lunch,0,39,461,327,370,15.0
2026-08-01,Saturday,Dinner,0,39,461,308,324,5.6
2026-08-02,Sunday,Breakfast,0,31,469,277,294,5.9
2026-08-02,Sunday,Lunch,0,31,469,339,367,9.8
2026-08-02,Sunday,Dinner,0,31,469,300,336,12.6
2026-08-03,Monday,Breakfast,0,10,490,397,438,14.3
2026-08-03,Monday,Lunch,0,10,490,424,471,16.4
2026-08-03,Monday,Dinner,0,10,490,451,513,21.7
2026-08-04,Tuesday,Breakfast,0,3,497,413,434,7.3
2026-08-04,Tuesday,Lunch,0,3,497,438,501,22.0
2026-08-04,Tuesday,Dinner,0,3,497,457,516,20.6
2026-08-05,Wednesday,Breakfast,0,8,492,417,457,14.0
2026-08-05,Wednesday,Lunch,0,8,492,442,507,22.8
2026-08-05,Wednesday,Dinner,0,8,492,445,501,19.6
2026-08-06,Thursday,Breakfast,0,2,498,390,438,16.8
2026-08-06,Thursday,Lunch,0,2,498,434,471,12.9
2026-08-06,Thursday,Dinner,0,2,498,445,480,12.2
2026-08-07,Friday,Breakfast,0,5,495,398,419,7.3
2026-08-07,Friday,Lunch,0,5,495,416,465,17.1
2026-08-07,Friday,Dinner,0,5,495,433,464,10.8
2026-08-08,Saturday,Breakfast,0,39,461,259,294,12.2
2026-08-08,Saturday,Lunch,0,39,461,331,367,12.6
2026-08-08,Saturday,Dinner,0,39,461,306,326,7.0
2026-08-09,Sunday,Breakfast,0,40,460,271,301,10.5
2026-08-09,Sunday,Lunch,0,40,460,315,336,7.3
2026-08-09,Sunday,Dinner,0,40,460,299,320,7.3
2026-08-10,Monday,Breakfast,1,15,485,415,450,12.2
2026-08-10,Monday,Lunch,1,15,485,465,520,19.2
2026-08-10,Monday,Dinner,1,15,485,455,484,10.1
2026-08-11,Tuesday,Breakfast,1,8,492,434,465,10.8
2026-08-11,Tuesday,Lunch,1,8,492,481,532,17.8
2026-08-11,Tuesday,Dinner,1,8,492,476,504,9.8
2026-08-12,Wednesday,Breakfast,1,9,491,433,460,9.4
2026-08-12,Wednesday,Lunch,1,9,491,459,512,18.5
2026-08-12,Wednesday,Dinner,1,9,491,469,518,17.1
2026-08-13,Thursday,Breakfast,1,10,490,418,454,12.6
2026-08-13,Thursday,Lunch,1,10,490,464,510,16.1
2026-08-13,Thursday,Dinner,1,10,490,455,481,9.1
2026-08-14,Friday,Breakfast,1,16,484,410,433,8.0
2026-08-14,Friday,Lunch,1,16,484,449,493,15.4
2026-08-14,Friday,Dinner,1,16,484,471,522,17.8
2026-08-15,Saturday,Breakfast,1,37,463,302,337,12.2
2026-08-15,Saturday,Lunch,1,37,463,340,386,16.1
2026-08-15,Saturday,Dinner,1,37,463,328,370,14.7
2026-08-16,Sunday,Breakfast,1,45,455,290,329,13.6
2026-08-16,Sunday,Lunch,1,45,455,358,400,14.7
2026-08-16,Sunday,Dinner,1,45,455,323,361,13.3
2026-08-17,Monday,Breakfast,1,20,480,424,451,9.4
2026-08-17,Monday,Lunch,1,20,480,442,496,18.9
2026-08-17,Monday,Dinner,1,20,480,447,476,10.1
2026-08-18,Tuesday,Breakfast,1,14,486,426,468,14.7
2026-08-18,Tuesday,Lunch,1,14,486,453,504,17.8
2026-08-18,Tuesday,Dinner,1,14,486,462,497,12.2
2026-08-19,Wednesday,Breakfast,1,15,485,443,499,19.6
2026-08-19,Wednesday,Lunch,1,15,485,453,500,16.4
2026-08-19,Wednesday,Dinner,1,15,485,456,522,23.1
2026-08-20,Thursday,Breakfast,1,19,481,404,461,19.9
2026-08-20,Thursday,Lunch,1,19,481,442,477,12.2
2026-08-20,Thursday,Dinner,1,19,481,458,513,19.2
2026-08-21,Friday,Breakfast,1,12,488,417,452,12.2
2026-08-21,Friday,Lunch,1,12,488,449,510,21.3
2026-08-21,Friday,Dinner,1,12,488,464,532,23.8
2026-08-22,Saturday,Breakfast,0,42,458,260,273,4.5
2026-08-22,Saturday,Lunch,0,42,458,345,385,14.0
2026-08-22,Saturday,Dinner,0,42,458,297,325,9.8
2026-08-23,Sunday,Breakfast,0,31,469,250,266,5.6
2026-08-23,Sunday,Lunch,0,31,469,344,368,8.4
2026-08-23,Sunday,Dinner,0,31,469,314,332,6.3
2026-08-24,Monday,Breakfast,0,18,482,408,439,10.8
2026-08-24,Monday,Lunch,0,18,482,430,469,13.6
